date, pm25, pm10, o3, no2, so2, co
2024/9/28, 64, 22, 9, 1, 8, 6
2024/9/29, 35, 17, 7, 3, 9, 5
2024/9/30, 24, 26, 10, 3, 9, 6
2024/4/1, 50, , , , , 
2024/4/3, 46, 22, 7, 1, 5, 3
2024/4/4, 24, 41, 28, 1, 6, 4
2024/4/5, 61, , , , , 
2024/4/7, 61, 37, 7, 1, 5, 4
2024/4/8, 59, 46, 20, , 5, 4
2024/4/9, 79, 53, 27, 2, 14, 5
2024/4/10, 89, 50, 24, 1, 9, 7
2024/4/11, 86, , , , , 
2024/4/13, 92, 59, 21, 3, 7, 5
2024/4/14, 109, 50, 19, 2, 7, 5
2024/4/15, 89, 47, 24, 2, 4, 5
2024/4/16, 66, 50, 24, 2, 4, 4
2024/4/17, 69, 57, 26, 2, 4, 4
2024/4/18, 80, 45, 25, 2, 4, 5
2024/4/19, 56, 37, 16, 1, 4, 3
2024/4/20, 27, 48, 19, 1, 4, 4
2024/4/21, 59, 45, 13, 2, 5, 4
2024/4/22, 54, 44, 10, 4, 5, 6
2024/4/23, 47, 34, 21, 2, 4, 2
2024/4/24, 45, 34, 16, 2, 3, 2
2024/4/25, 37, , , , , 
2024/4/27, 61, 39, 17, 3, 6, 3
2024/4/28, 64, 23, 8, 2, 6, 4
2024/4/29, 31, 26, 11, 5, 7, 2
2024/4/30, 39, 45, 25, 3, 7, 3
2024/5/1, 73, 43, 26, 1, 3, 3
2024/5/2, 53, 57, 23, 4, 7, 4
2024/5/3, 87, 51, 27, 1, 3, 3
2024/5/4, 79, 53, 21, 3, 2, 4
2024/5/5, 70, 51, 21, 3, 5, 3
2024/5/6, 69, 50, 20, 3, 4, 4
2024/5/7, 86, 20, 20, 2, 4, 3
2024/5/8, 46, 31, 15, 3, 9, 4
2024/5/9, 39, 19, 10, 5, 5, 11
2024/5/10, 30, 26, 9, 3, 4, 5
2024/5/11, 57, , , , , 
2024/5/13, 51, 29, 17, 7, 3, 6
2024/5/14, 65, 35, 5, 5, 4, 5
2024/5/15, 82, 23, 11, 2, 5, 3
2024/5/16, 49, 7, 9, 6, 8, 3
2024/5/17, 17, 9, 4, 4, 3, 6
2024/5/18, 9, 14, 3, 4, 6, 4
2024/5/19, 24, 21, 4, 3, 7, 4
2024/5/20, 44, 19, 8, 2, 4, 3
2024/5/21, 29, 17, 9, 3, 6, 3
2024/5/22, 24, 20, 11, 2, 7, 3
2024/5/23, 35, 38, 12, 2, 5, 4
2024/5/24, 67, 49, 16, 12, 5, 6
2024/5/25, 84, 59, 23, 3, 4, 5
2024/5/26, 114, 53, 23, 2, 4, 11
2024/5/27, 79, 58, 22, 2, 4, 4
2024/5/28, 72, 68, 25, 1, 16, 5
2024/5/29, 80, 70, 32, 3, 4, 4
2024/5/30, 91, 78, 31, 2, 7, 7
2024/5/31, 97, 70, 20, 2, 4, 30
2024/6/1, 97, 33, 14, 2, 5, 4
2024/6/2, 53, 34, 17, 4, 5, 6
2024/6/3, 67, 34, 26, 2, 4, 14
2024/6/4, 47, 38, 16, 5, 5, 6
2024/6/5, 44, 17, 9, 1, 6, 1
2024/6/6, 46, 29, 10, 2, 7, 2
2024/6/7, 58, 25, 10, 3, 6, 7
2024/6/8, 42, 10, 13, 2, 6, 4
2024/6/9, 15, 17, 7, 2, 7, 4
2024/6/10, 40, 22, 14, 2, 5, 4
2024/6/11, 42, 25, 16, 1, 10, 4
2024/6/12, 56, 28, 13, 2, 10, 7
2024/6/13, 50, 22, 11, 2, 9, 6
2024/6/14, 38, 28, 12, 4, 15, 4
2024/6/15, 44, 33, 12, 5, 5, 7
2024/6/16, 50, 18, 11, 1, 10, 13
2024/6/17, 35, 45, 8, 1, 11, 3
2024/6/18, 64, 34, 8, 3, 6, 5
2024/6/19, 54, 50, 9, 4, 5, 4
2024/6/20, 62, 41, 9, 5, 9, 3
2024/6/21, 57, 33, 13, 2, 6, 4
2024/6/22, 58, 39, 12, 4, 9, 4
2024/6/23, 64, 28, 17, 5, 8, 4
2024/6/24, 52, 28, 17, 2, 10, 4
2024/6/25, 52, 29, 16, 2, 12, 5
2024/6/26, 48, 16, 10, 2, 6, 6
2024/6/27, 30, 22, 10, 3, 8, 5
2024/6/28, 31, 33, 11, 2, 10, 5
2024/6/29, 44, 20, 7, 3, 9, 7
2024/6/30, 42, 22, 23, 1, 8, 7
2024/1/1, 168, 101, 22, 6, 7, 6
2024/1/2, 175, 106, 25, 5, 6, 6
2024/1/3, 179, 95, 25, 7, 5, 6
2024/1/4, 172, 83, 22, 16, 6, 6
2024/1/5, 157, , , , , 
2024/1/8, 168, 104, 20, 5, 5, 7
2024/1/9, 178, 100, 21, 5, 9, 5
2024/1/10, 175, 94, 19, 6, 6, 6
2024/1/11, 171, 105, 24, 8, 7, 10
2024/1/12, 173, 86, 25, 5, 5, 6
2024/1/13, 153, 85, 5, 5, 5, 6
2024/1/14, 162, 82, 19, 3, 29, 5
2024/1/15, 163, 69, 20, 3, 7, 4
2024/1/16, 147, 54, 17, 7, 6, 4
2024/1/17, 104, 54, 13, 6, 5, 4
2024/1/18, 101, 48, 7, 7, 4, 4
2024/1/19, 85, 37, 13, 5, 4, 3
2024/1/20, 69, 35, 13, 4, 4, 3
2024/1/21, 63, 40, 13, 3, 4, 3
2024/1/22, 69, 41, 11, 3, 4, 4
2024/1/23, 77, 44, 15, 5, 4, 4
2024/1/24, 85, , , , , 
2024/1/27, 153, 71, 21, 5, 6, 6
2024/1/28, 146, 73, 22, 5, 4, 7
2024/1/29, 150, 75, 25, 13, 4, 7
2024/1/30, 151, 51, 18, 4, 5, 8
2024/1/31, 81, 43, 15, 4, 4, 5
2024/2/1, 71, 26, 16, 2, 4, 4
2024/2/2, 36, 46, 3, 5, 5, 6
2024/2/3, 63, 49, 14, 5, 10, 5
2024/2/4, 83, 50, 18, 5, 7, 5
2024/2/5, 82, 51, 17, 5, 14, 6
2024/2/6, 84, 61, 19, 6, 6, 6
2024/2/7, 111, 59, 14, 7, 5, 6
2024/2/8, 102, 51, 12, 5, 8, 7
2024/2/9, 81, 56, 16, 4, 5, 6
2024/2/10, 94, 66, 22, 4, 8, 6
2024/2/11, 124, 64, 20, 3, 5, 6
2024/2/12, 124, 56, 20, 4, 5, 7
2024/2/13, 92, 56, 17, 4, 6, 6
2024/2/14, 86, 57, 16, 6, 8, 7
2024/2/15, 99, 58, 17, 7, 5, 7
2024/2/16, 100, 52, 22, 9, 5, 5
2024/2/17, 84, 45, 8, 4, 6, 6
2024/2/18, 70, 46, 17, 5, 5, 5
2024/2/19, 78, 41, 15, 3, 12, 5
2024/2/20, 71, 53, 21, 7, 9, 4
2024/2/21, 90, 56, 17, 7, 5, 7
2024/2/22, 103, 46, 12, 3, 4, 5
2024/2/23, 81, 42, 10, 2, 4, 4
2024/2/24, 74, 40, 13, 5, 4, 5
2024/2/25, 70, 46, 9, 3, 4, 3
2024/2/26, 78, 51, 17, 7, 5, 5
2024/2/27, 89, 52, 20, 4, 15, 4
2024/2/28, 83, 57, 18, 11, 8, 6
2024/2/29, 90, 52, 14, 29, 4, 5
2024/3/1, 91, 55, 16, 7, 8, 5
2024/3/2, 89, 54, 16, 9, 5, 5
2024/3/3, 93, 49, 16, 3, 7, 5
2024/3/4, 90, 59, 16, 4, 7, 7
2024/3/5, 107, 52, 26, 3, 9, 6
2024/3/6, 86, 49, 27, 3, 10, 5
2024/3/7, 77, 50, 20, 3, 5, 7
2024/3/8, 78, 57, 19, 6, 8, 6
2024/3/9, 94, 48, 9, 3, 5, 6
2024/3/10, 74, 57, 11, 3, 5, 15
2024/3/11, 97, 55, 26, 4, 5, 6
2024/3/12, 79, 57, 30, 3, 5, 6
2024/3/13, 93, 52, 22, 3, 5, 6
2024/3/14, 91, , , , , 
2024/3/16, 36, 26, 16, 3, 8, 5
2024/3/17, 42, 26, 17, 4, 8, 5
2024/3/18, 35, 41, 19, 2, 6, 9
2024/3/19, 58, 53, 26, 2, 5, 7
2024/3/20, 89, 40, 24, 4, 9, 6
2024/3/21, 68, 46, 22, 2, 5, 9
2024/3/22, 64, 45, 23, 6, 5, 6
2024/3/23, 60, 40, 22, 2, 7, 12
2024/3/24, 60, 34, 24, 2, 8, 8
2024/3/25, 54, 28, 20, 1, 7, 5
2024/3/26, 53, 22, 13, 1, 5, 9
2024/3/27, 25, 34, 9, 2, 6, 4
2024/3/28, 54, 39, 7, 3, 3, 4
2024/3/29, 59, 42, 13, 2, 3, 16
2024/3/30, 64, 25, 16, 3, 6, 7
2024/3/31, 36, 31, 16, 2, 3, 9
2023/10/1, 50, 30, 19, 2, 7, 3
2023/10/2, 62, 43, 24, 3, 7, 4
2023/10/3, 81, 58, 26, 4, 7, 6
2023/10/4, 89, 77, 33, 5, 7, 4
2023/10/5, 109, 72, 35, 6, 8, 4
2023/10/6, 106, 76, 30, 5, 8, 3
2023/10/7, 119, 79, 30, 3, 8, 2
2023/10/8, 142, 71, 24, 3, 8, 2
2023/10/9, 127, 74, 22, 6, 7, 4
2023/10/10, 122, 63, 25, 4, 3, 7
2023/10/11, 118, 69, 20, 5, 3, 4
2023/10/12, 116, 73, 21, 3, 2, 4
2023/10/13, 130, 74, 24, 4, 3, 4
2023/10/14, 137, 76, 24, 3, 3, 5
2023/10/15, 136, 62, 20, 3, 3, 4
2023/10/16, 114, 67, 24, 4, 3, 7
2023/10/17, 117, 84, 26, 5, 4, 5
